player,team,games_played,at_bat,runs,hits,doubles,triples,home_runs,runs_batted_in,walks,strike_outs,stolen_bases,caught_stealing,batting_avg,on_base_percentage,slugging,ops
Ha-SeongKim,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
122,SEA,29,105,17,25,9,0,1,15,11,16,1,0,0.238,0.336,0.352,0.688
TyFrance,,,,,,,,,,,,,,,,,
1B,,,,,,,,,,,,,,,,,
123,WSH,29,97,11,23,4,2,2,14,6,23,3,1,0.237,0.302,0.381,0.683
CJAbrams,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
123,HOU,31,118,18,25,4,0,4,15,21,16,0,0,0.212,0.336,0.347,0.683
AlexBregman,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
125,WSH,30,119,12,28,7,0,4,14,7,27,0,0,0.235,0.285,0.395,0.68
JeimerCandelario,,,,,,,,,,,,,,,,,
3B,,,,,,,,,,,,,,,,,
126,CLE,30,109,21,26,7,0,2,8,7,25,6,1,0.239,0.32,0.358,0.678
AndresGimenez,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
127,CIN,31,106,11,28,6,0,0,11,12,31,0,0,0.264,0.355,0.321,0.676
TylerStephenson,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
127,TOR,30,108,15,23,5,0,4,10,13,29,5,0,0.213,0.306,0.37,0.676
DaultonVarsho,,,,,,,,,,,,,,,,,
LF,,,,,,,,,,,,,,,,,
129,WSH,26,99,6,25,4,0,2,8,8,7,0,0,0.253,0.321,0.354,0.675
KeibertRuiz,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,
130,BAL,29,84,16,19,3,0,3,10,9,11,4,1,0.226,0.301,0.369,0.67
AdamFrazier,,,,,,,,,,,,,,,,,
2B,,,,,,,,,,,,,,,,,
130,BOS,30,108,19,25,6,0,3,10,10,27,1,0,0.231,0.3,0.37,0.67
EnriqueHernandez,,,,,,,,,,,,,,,,,
SS,,,,,,,,,,,,,,,,,
